,#1 String,#2 String,label
3272,"At first blush, then, the distinction drawn by the creators of the do-not-call registry would seem to draw the line in precisely the right place.","At first blush, then, the creators of the registry would seem to have drawn the line between exempted and banned calls in the right place.",1
3671,"This is unacceptable,"" said Patrick Pelloux, the president of France's Association of Emergency Doctors.","Two CIA operatives have been killed in an ambush in Afghanistan, the CIA said yesterday.",0
5553,"Yunos allegedly prepared the bombs' wiring while Al-Ghozi reportedly admitted preparing the switch on the alarm-clock triggers and packing the explosives, the prosecutors said.","Yunos prepared the bombs' wiring, and Ghozi admitted that he prepared the switch on the alarm-clock triggers and packed the explosives, the prosecutors said.",1
2929,"But this could happen with any document format that supports VBA, including Word, Excel or PowerPoint.",Mrs. Clinton said she was incredulous that he would endanger their marriage and family.,0
2614,"As they wound through police barricades to the funeral home, many chanted ""Celia, Celia"" and sang snippets of her songs.","""It is highly conditional, faces significant regulatory delays and uncertainty, and threatens serious damage to our business.""",0
8390,He allegedly told his ex-wife in an angry phone call that he had no intention of following their new custody agreement.,The two had battled over custody and he allegedly told her in an angry phone call that he had no intention of following their new custody agreement.,1
4828,"Robin Saunders, head of the bank's London-based principal finance unit, is also expected to quit.","Robin Saunders, head of the principal finance unit, has made clear she has funding to buy parts of the business.",1
291,The local people say four Iraqis were killed and four were injured.,"""We believe that recent trading prices of MGM's common stock do not reflect MGM's full value and that the stock represents an attractive investment,"" Kerkorian said in a statement.",0
6291,Their worst-case scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million Californians who could vote on electronic touch-screen machines.,Their worst-case scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million Californians voting electronically - 9.3 percent of the state's 15.3 million registered voters.,1
8655,"The military said it had killed 16 rebels and captured nine in the campaign so far, with one soldier killed and six wounded.","The collaboration gives architect David Childs, who has done extensive work with Silverstein, the lead role in developing the tower, which is to be the world's tallest.",0
4816,"He said: “They were an inspirational couple, selfless and courageous.","We have already found two trailers that we and the Americans believe were used for chemical and biological weapons.""",0
1904,The move to rein in losses at its four boutique outlets comes as the retailer seeks to cap the cost of doing business.,The move to rein in the losses of the four upmarket food outlets comes as the retailer seeks to cap the cost of doing business.,1
1347,Both were taken to Boston Medical Center.,While many likely now will quit – as millions of women already have – Soltes said she likely will continue to prescribe the supplements for relief of change-of-life symptoms.,0
8466,"Peterson was arrested near Torrey Pines Golf Course in La Jolla on April 18, the same the day the bodies were identified through DNA testing.",The year-ago numbers do not include figures from Compaq Computer.,0
2088,FBI spokesman Steve Lazarus did not immediately return a phone call for comment on Friday.,The final price will be a 5 per cent discount to the volume-weighted average of trading between June 23 and July 11.,0
1217,"""This is a cloud hanging over their credibility, their word,"" said Hagel.","Desktop PC shipments also exceeded IDC's expectations in the second quarter, Kay said.",0
1285,"First Essex, with $1.8 billion of assets, employs about 360 people and operates 11 offices in Massachusetts and nine in southern New Hampshire.",First Essex operates 20 banking offices in two counties in Massachusetts and three counties in southern New Hampshire.,1
8993,"IBM shares closed up $1.75, or 2.11 percent, at $84.50 on the New York Stock Exchange.","Microsoft will stop developing versions of its Internet Explorer browser software for Macintosh computers, saying that Apple's Safari is now all that Apple needs.",0
3562,Freddie Mac shares were down more than 16 per cent at $50.18 at midday yesterday.,"Freddie Mac shares were off $7.87, or 13.2 percent, at $52 in midday trading on the New York Stock Exchange.",1
7396,"The Dow Jones industrial average .DJI ended up 64.64 points, or 0.71 percent, at 9,191.09, according to the latest available data.","""It was a little bit embarrassing the way we played in the first two games,"" Thomas said.",0
3355,"Russian Yuri Malenchenko, American Edward Lu and Pedro Duque of Spain landed in their Soyuz TMA-2 capsule at 0240 GMT.","Russian Yuri Malenchenko, American Edward Lu and Spain's Pedro Duque came down in their Soyuz TMA-2 capsule at 2:40 a.m. GMT.",1
4237,"The Nasdaq composite index inched up 1.28, or 0.1 percent, to 1,766.60, following a weekly win of 3.7 percent.","The technology-laced Nasdaq Composite Index .IXIC was off 24.44 points, or 1.39 percent, at 1,739.87.",1
9316,"""It was a total mockery of justice, a parody,"" said Thierry Falise, a Belgian photographer, as he arrived here.",Chiron already has nearly 20 percent acceptances from PowderJect's shareholders.,0
4794,Dixon put his style on display Sunday afternoon in winning the Honda Indy 225 at Pikes Peak International Raceway.,"Nine years ago, they were married by a justice of the peace.",0
2174,"The broader Standard & Poor's 500 Index .SPX was down 0.04 points, or 0 percent, at 971.52.","Standard & Poor's 500 stock index futures for June were down 2.60 points at 965.70, while Nasdaq futures were down 7.50 points at 1,183.50.",1
5756,"""The idea that Tony Abbott is in some way a one-dimensional political head kicker couldn't be more wrong.""","In her autobiography, ""Find Me,"" O'Donnell wrote, ""I was an abused kid.",0
6189,The researchers at Imperial College London had previously shown that the hormone could suppress the appetites of lean people.,"Mr. Yandarbiyev resides in Doha, Qatar, and Russian authorities have unsuccessfully tried to have him extradited for nearly two years.",0
9698,"He admits he occasionally lived the life of a playboy: smoking pot, chasing women and living fast and loose.",The picture changes slightly should New York Sen. Hillary Rodham Clinton end up as the Democratic presidential candidate.,0
10376,"The feature, which has the approval of book publishers, puts some 33 million pages of searchable text at the disposal of Amazon.com shoppers.","Overall control will be wielded by a national security council, headed by Mr Arafat.",0
11463,"More than 60 per cent of its 1,000 employees at the time were killed.","North American futures pointed to a strong start to the first trading session of the week Monday, as earnings season slows and economic indicators take the spotlight.",0
7765,"The farmers market reopened Saturday; at least 11 people remained hospitalized, three in critical condition.",Weather forecasters are sending out warnings for heavy rainfall that could wash out the tail end of the holiday weekend.,0
5061,"The technology-laced Nasdaq Composite Index rose 4.64 points, or 0.27 percent, to 1,735.34, according to the latest available data.","The broader Standard & Poor's 500 Index .SPX climbed 17.08 points, or 1.74 percent, to 998.68.",1
6425,Shares of Coke were down 26 cents to close at $44.10 on the New York Stock Exchange.,"Davey graduated Saturday from Northwest College, which is affiliated with the Assemblies of God, with a bachelor of arts degree in religion and philosophy.",0
8626,"Over the weekend, NASA landed a six-wheeled robot on Mars to study the planet.","Farmland Foods President George Richter said, ""With Smithfield's support and leadership, Farmland Foods will succeed and continue to sustain the Midwestern communities which depend on it.""",0
621,"The singer has been on a ventilator since the crash at his Buckinghamshire estate on Monday, with his condition last night described as “stable and comfortable”.","The nation's median household income, adjusted for inflation, declined 1.1 percent, to $42,409 in 2002, the Census Bureau reported Friday.",0
6682,"Canada which is a major meat exporter to Japan, has threatened a trade backlash if Tokyo's ban is not justified on scientific grounds.","Immunizing mice with pneumococcusleads tothe generation of antibodies that the researchers think lead to the protection from heart disease, he said.",0
2802,He transferred another 10 million shares to a charitable trust and these shares were also liquidated.,"A further 10 million shares were transferred to a charitable trust, after which they were also sold.",1
9553,"Of the 24 directors who are not exchange executives, half are representatives of the securities industry and half are designated public members.","The chipset will operate in the 2.4-GHz band, and features radio signal interference prevention and low power consumption.",0
1720,"Immediately after the blast, people portraying some of the 150 ""victims"" stumbled amid the wreckage as emergency vehicles converged on the scene.","Immediately after the small explosion, people portraying victims stumbled amid the wreckage as fire trucks and other emergency vehicles converged.",1
4193,I would like to congratulate Russia on the successful World Climate Change Conference last week.,A cul-de-sac with homes burned to their foundations was visible from above.,0
2498,Most other potential buyers are interested only in cherry-picking the most attractive assets.,"Daniels said he doesn't know what Bush will have to say about him at tonight's $2,000-per-person presidential fund-raiser.",0
265,"""The figures are becoming catastrophic,"" said Dr. Patrick Pelloux, the president of the association of emergency room physicians.","This is unacceptable,"" said Patrick Pelloux, the president of France's Association of Emergency Doctors.",1
5379,They remain 40 percent below the levels prior to February's initial overstatement news.,The stock remains 43 percent below levels prior to the February overstatement news.,1
7820,"The state, which previously conducted two triple executions and two double executions, says the policy is designed to reduce stress on its prison staff.","The state previously conducted two triple executions and two double executions, a practice it says is intended to reduce stress on the prison staff.",1
6118,But Senate criticism of the House plan Tuesday came on several fronts.,And several Senate Republicans are cranky about the House map.,1
3753,The European Union banned the import of genetically modified food in 1998; the United States is now demanding that the EU end its ban.,The effort is the Bush administration's latest effort to expand the role of religious organizations in government services.,0
9487,"Five Big East schools, Connecticut, Pittsburgh, Rutgers, Virginia Tech and West Virginia, filed the lawsuit June 6.","Pittsburgh, West Virginia, Rutgers, Connecticut and Virginia Tech filed the lawsuit this month in Hartford, Conn.",1
5117,This was almost certainly its last full quarter before the company becomes a part of Palm.,"The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.",0
10522,"""We acted because we saw the evidence in a dramatic new light - through the prism of our experience on 9-11.""","The Dow Jones industrial average .DJI ended up 56.79 points, or 0.67 percent, at 8,588.36 -- its highest level since January 17.",0
4264,The government says the changes are necessary if Israel is to compete successfully in the global marketplace and attract investment.,"Goodyear's third-quarter earnings report, which had been scheduled to be released on Thursday, was postponed until November.",0
11261,The reports are among several published this week in the Journal of Allergy and Clinical Immunology.,Recent U.S. appeals court rulings have required Internet providers to identify subscribers suspected of illegally sharing music and movie files.,0
9878,The first products are likely to be dongles costing between US$100 and US$150 that will establish connections between consumer electronics devices and PCs.,The first products will likely be dongles costing $100 to $150 that will establish connections between consumer electronics devices and PCs.,1
11189,"Under the adjusted definition, officials Thursday listed 29 cases as suspected and said that 107 other people showing possible SARS symptoms were being monitored.","Another 29 cases were listed as suspected, and officials warned that 107 other people showing possible SARS symptoms were being monitored.",1
10513,"The weekend arrest of Russia's richest man, Mikhail Khodorkovsky, chief executive of oil major YUKOS, on charges of fraud and tax evasion unnerved financial markets.","Billy Hodge, 11, is engrossed with the Harry Potter series books.",0
259,"""We will clearly modify some features of our plans as well as their administration,"" Mr. Reed said in his letter.","The technology-laced Nasdaq Composite Index <.IXIC> rose 17.33 points, or 1.07 percent, to 1,640.13.",0
7882,The conference was sponsored by the U.S. Department of Agriculture to discuss ways to end world hunger and poverty.,"Last year, Stockwell was forced to repay $3,000 in bar tabs that he and his staff rang up while he was labour minister.",0
3616,"Bush wanted ""to see an aircraft landing the same way that the pilots saw an aircraft landing,"" White House press secretary Ari Fleischer said yesterday.","An outspoken opponent of terrorism, Professor Said's principal political allies were among the Palestinian intellectuals and civic leaders who have stood aside from the Arafat-dominated PLO and Palestinian Authority.",0
8897,Schering-Plough shares fell 72 cents to close at $18.34 on the New York Stock Exchange.,"The shares fell 72 cents, or 3.8 percent, to $18.34 Monday on the New York Stock Exchange.",1
